review_id,review_text,hotel_name,prefecture,overall_score,service_score,location_score,room_score,amenities_score,bathroom_score,food_score
voteans_21301527,家族でのんびり過ごせて良かったです。お料理が美味しかったし、景色も美しかったです。温泉は思ったよりも小さかったですが、泉質は結構よかった。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,4,4,4,4,4,4,5
voteans_21251321,ロビーからの鶴の舞橋の景観が素晴らしく、雪景色もあって楽しめました。食事も満腹となるほどの量・品数があり、いずれも美味でした。近くに鶴の飼育もなされており、鶴の鳴き合いの声を聴きながらの散策も特別な雰囲気を感じました。、,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,4,4,5,4,4,4,4
voteans_21170325,先日はお世話になりました。夕食を部屋食への変更、ありがとうございました。お食事はとても味付けが良くて、量も適量で、本当にゆっくりと食事が出来て良かったです。大浴場のお湯も、しっとりとしてかけ流しのお湯は気持ち良かったです。なかなか遠いのでまたチャンスがあれば伺いたいと思います。鶴の舞橋が目の前で、圧巻でした。雪が舞い散る鶴の舞橋も幻想的でとても良かったです。また足を運びたいと思います。ありがとうございました。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,4,5,5,5,4,5,5
voteans_21061209,大変満足でした。お掃除も行き届いていましたしお料理も美味しかったです。お風呂のお湯も豊富で気持ちよかったです。とにかく鶴の舞橋が目の前で素晴らしかったです。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,5,4,5,4,3,4,4
voteans_21031432,【良かった点】・部屋から見える景色が素晴らしく大満足。・フロントの対応が丁寧。【気になった点】・全室禁煙を知らなかった（当方の確認不足もあるが）予約時に禁煙や喫煙の記載がなかったので気にしてなかったが、部屋に灰皿がないのでフロントに電話で聞いたところ、全室禁煙とのこと。施設外まで出る必要があり、イマイチのんびり出来なかった。・部屋の髪の毛白いソファーに長い髪の毛が2本。ソファーが白なので目立ちました。・食事の質とサービス食事の質は普通であり、量もちょうどよかったが、質は宿泊料金に見合ってないように感じた。食事会場では係の方全員が厨房側に入り、会場に誰もいない時間が多々あった。飲み物を追加したいが、係の人が来るまで5分程度待った（大声で呼ぶことも考えたが、周囲のお客様に迷惑と思った）。朝食は席に着いても説明がなく戸惑った。・感染対策浴場と脱衣所でマスクなしでの会話が目立つ（地元の日帰り客のようです）。地元の方にも人気のある温泉のようで夕方は混み合う。そして顔見知りの方々の会話が長く続いている。マスク無しでの会話について、ホテル側から特にお願いはないようです（張り紙とか何もなかった）。また、夕食、朝食会場の席が部屋番号ごとに指定されていたが、使ってない席もあるのに分散させていない。改善されれば幸いです。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,2,2,5,2,3,2,2
voteans_21024658,なぜか車椅子対応の部屋でしたが、広くて鶴の舞橋の眺めが最高でした。立地でこの宿を予約して正解でした。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,4,4,5,4,4,4,5
voteans_20976121,建物は古さを感じるものの、手入れが行き届いていて、気持ちよく過ごせました。また部屋からの眺めも想像以上で、とても満足できました！朝食に出たりんごジュースがとても美味しく、おかわりさせて頂きました。お土産に買っていきたかったと帰宅してからも思い出すほどでした。また工事が終わったら行きたいと思います。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,5,5,5,4,4,4,4
voteans_20972479,鶴の舞橋たもとで夕陽や日の出は絶景である。インフォメーションの方々が手厚い多情報提供して下さりトテモ役立ちありがたかった。食事も手がこんでありシェフの心意気が感じられ美味しかった。唯一、残念なのは、リンス入りシャンプーであったことだ。。。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,4,5,5,5,2,4,5
voteans_20918201,大変良かったです。高齢の母も大変満足してました。夕食朝食も大変美味しく、量が多くて母には食べ切れないようでした。客が少なかったのかもしれませんが館内も静かで大変リラックス出来ました。ホテルの裏の鶴の舞橋が工事中で渡れなかったのだけが残念でした。また利用したいと思います。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,4,3,5,4,4,4,4
voteans_20859269,到着が遅くなりましたが、対応してくださいました。お食事は以上な豪華さはなく、丁度良い量でした。何より温泉が最高でした。お部屋に忘れ物をしてしまいましたが、すぐご連絡くださり、着払いで自宅で送付していただき、助かりました。一番お目当ての鶴の舞橋は、工事中とのこと、完成後には、また、宿泊したいと思います。,鶴の舞橋と岩木山　絶景の宿　つがる富士見荘,aomori,5,5,5,5,5,5,5
